Name,Gender,Frequency
निशा,0,11610
बाल कुमारी,0,11459
डिल बहादुर,1,11397
विष्णु कुमारी,0,11396
युवराज,1,11388
उमा,0,11352
कमला देवी,0,11312
सुवास,1,11253
चन्द्र माया,0,11241
सुशिला,0,11241
अशोक कुमार,1,11181
राम माया,0,11177
संजय कुमार,1,11148
दुर्गा बहादुर,1,10989
शेख,1,10896
जानुका,0,10833
रमा,0,10751
आशिष,1,10676
चन्द्र कला,0,10665
केशव,1,10561
किरण,1,10551
रमेश कुमार,1,10550
विष्णु,0,10504
नारायण प्रसाद,1,10496
चन्द्रकला,0,10428
मैया,0,10386
माया देवी,0,10352
विनिता,0,10347
हिरा,0,10252
मेनुका,0,10205
नरेश,1,10127
अमृत,1,10076
अजय कुमार,1,10047
मदन,1,10017
अनिता कुमारी,0,9995
अन्जु,0,9994
कोपिला,0,9988
इन्दिरा,0,9988
जय बहादुर,1,9980
सुर्य बहादुर,1,9947
सुदिप,1,9943
तुलसी,0,9926
विवेक,1,9898
शिव कुमार,1,9815
ओम प्रकाश,1,9684
प्रेम,1,9616
सुनिल कुमार,1,9571
मिना देवी,0,9413
दिपेश,1,9413
रीता,0,9408
राधा देवी,0,9364
चित्र बहादुर,1,9349
कृष्‍ण बहादुर,1,9340
यम बहादुर,1,9268
पार्वती देवी,0,9168
खड्ग बहादुर,1,9154
विनोद कुमार,1,9150
प्रतिमा,0,9133
तुलसा,0,9087
विष्णु,1,9085
विरेन्द्र,1,9014
होम बहादुर,1,8989
मिरा,0,8988
कमल बहादुर,1,8974
सीता देवी,0,8948
कौशिला,0,8931
तिलक बहादुर,1,8930
जिवन,1,8925
शुशिला,0,8898
राकेश,1,8830
गिता देवी,0,8827
टिकाराम,1,8804
सन्त बहादुर,1,8690
देव बहादुर,1,8679
राजेश कुमार,1,8674
कृष्ण माया,0,8637
काली,0,8635
सुनिता देवी,0,8626
इन्द्र कुमारी,0,8618
डम्बर बहादुर,1,8614
गिता कुमारी,0,8578
भिम कुमारी,0,8510
याम बहादुर,1,8435
आरती,0,8401
राम,1,8398
जगत बहादुर,1,8398
देवकी,0,8325
टिका राम,1,8314
देव कुमारी,0,8230
रुद्र बहादुर,1,8221
विकास,1,8197
पदम कुमारी,0,8167
बसन्ती,0,8133
अनिता देवी,0,8131
दान बहादुर,1,8110
मञ्जु,0,8110
मान कुमारी,0,8101
लक्ष्‍मी,0,8055
गंगा माया,0,8022
देवी माया,0,8004
प्रमोद,1,7999
जानकी देवी,0,7990
शिव प्रसाद,1,7983
खिम बहादुर,1,7982
दुर्गा प्रसाद,1,7980
चक्र बहादुर,1,7913
अन्जना,0,7885
रिना,0,7849
विना,0,7842
लिला कुमारी,0,7817
दिनेश कुमार,1,7813
मीना,0,7794
ओम बहादुर,1,7783
तुल बहादुर,1,7765
ललिता देवी,0,7756
जितेन्द्र,1,7751
विष्णु बहादुर,1,7661
दुर्गा कुमारी,0,7653
लिला देवी,0,7648
नेत्र बहादुर,1,7615
शान्ती देवी,0,7608
बिनोद,1,7505
रिता कुमारी,0,7495
सिमा,0,7484
तिल कुमारी,0,7436
दिपक कुमार,1,7432
बिर बहादुर,1,7429
रामचन्द्र,1,7413
वीर बहादुर,1,7412
अम्विका,0,7386
कृष्ण कुमार,1,7382
सन्दिप,1,7367
हिरा देवी,0,7273
हरि माया,0,7220
बबिता,0,7177
राम नारायण,1,7174
शिव कुमारी,0,7161
रेनुका,0,7141
सरीता,0,7098
सुन माया,0,7082
शुसिला,0,7079
उर्मिला देवी,0,7078
भावना,0,7016
रविन्द्र,1,7014
श्याम बहादुर,1,7010
गंगा बहादुर,1,6998
मुकेश,1,6913
सानु माया,0,6872
बम बहादुर,1,6870
दिलिप कुमार,1,6806
सुन्तली,0,6791
सरिता कुमारी,0,6768
सिताराम,1,6761
टिका कुमारी,0,6752
टिका,0,6703
नन्द कुमारी,0,6664
प्रेम कुमार,1,6604
धनमाया,0,6595
निर्मला कुमारी,0,6587
नरेन्द्र,1,6561
जीवन,1,6519
प्रविन,1,6493
सुकु माया,0,6484
मनिष,1,6477
पवन,1,6472
राम कृष्ण,1,6430
निर्मला देवी,0,6426
अरुण कुमार,1,6422
हेम बहादुर,1,6355
कान्छी माया,0,6334
टंक बहादुर,1,6332
गौरी,0,6322
अरुण,1,6315
गायत्री,0,6309
गोमा देवी,0,6303
रेखा कुमारी,0,6294
दिलिप,1,6292
गंगा कुमारी,0,6290
आशा कुमारी,0,6269
शम्भु,1,6259
अमर बहादुर,1,6258
सन्देश,1,6251
प्रमोद कुमार,1,6225
निरज,1,6211
लक्ष्मी प्रसाद,1,6171
बलराम,1,6135
डिल कुमारी,0,6113
जुना,0,6106
बसन्त,1,6104
रिता देवी,0,6096
विष्‍णु माया,0,6093
हरि,1,6091
जीत बहादुर,1,6056
श्याम,1,6028
फूल माया,0,6012
खगेन्द्र,1,6006
अमित,1,6004
टोप बहादुर,1,5987
हिरा कुमारी,0,5969
गीता देवी,0,5967
श्याम कुमार,1,5965
लिला माया,0,5939
सुरेश कुमार,1,5938
घनश्याम,1,5932
राधा कुमारी,0,5913
सत्य नारायण,1,5859
ललिता कुमारी,0,5854
अप्सरा,0,5851
उपेन्द्र,1,5839
विमल,1,5838
कमला कुमारी,0,5837
निर्मल,1,5828
शिव,1,5824
उमेश कुमार,1,5818
चन्द्रा,0,5798
तारा कुमारी,0,5795
मोहन बहादुर,1,5780
पुनम कुमारी,0,5772
रण बहादुर,1,5753
सीता कुमारी,0,5745
रोहित,1,5743
टिका माया,0,5728
मनमाया,0,5717
ज्योती,0,5697
आकाश,1,5636
देवेन्द्र,1,5635
लाल माया,0,5569
देव नारायण,1,5558
राकेश कुमार,1,5535
रविना,0,5507
शिला,0,5495
सविन,1,5446
चेत बहादुर,1,5443
ममता कुमारी,0,5430
अनु,0,5419
आशा देवी,0,5417
माइली,0,5397
जनक,1,5376
सुस्मा,0,5370
सोम माया,0,5370
इन्द्र माया,0,5365
किशोर,1,5351
सुष्मा,0,5325
गोविन्द प्रसाद,1,5307
माधव,1,5306
हस्त बहादुर,1,5304
धन वहादुर,1,5303
हरिकला,0,5269
छविलाल,1,5262
रुपेश,1,5261
रमिता,0,5261
यम कुमारी,0,5248
गणेश प्रसाद,1,5241
पुतली,0,5233
कमल प्रसाद,1,5210
बाबुराम,1,5209
मुकेश कुमार,1,5206
निर माया,0,5203
पदम,1,5200
हेम कुमारी,0,5156
सिता राम,1,5126
तारा बहादुर,1,5109
श्रवण कुमार,1,5107
सबिना,0,5034
रवि,1,5030
मनिता,0,4983
सुक बहादुर,1,4973
शोभा कुमारी,0,4971
खड्क बहादुर,1,4946
अर्जुन कुमार,1,4945
रेखा देवी,0,4926
डिल माया,0,4916
खेम बहादुर,1,4914
छत्र बहादुर,1,4911
यमुना,0,4897
रत्‍न बहादुर,1,4890
प्रतिक्षा,0,4842
मंगली,0,4838
तिलक,1,4834
गीता कुमारी,0,4804
चमेली,0,4789
यसोदा,0,4762
लाल कुमारी,0,4761
राजेन्द्र प्रसाद,1,4760
सुजता,0,4747
बिनिता,0,4740
ज्ञानु,0,4727
सुभद्रा,0,4715
हिरा बहादुर,1,4713
गोविन्द बहादुर,1,4710
बिजय,1,4697
समिक्षा,0,4686
सुशिल,1,4682
शिव नारायण,1,4679
भवानी,0,4671
निलम,0,4657
श्रीराम,1,4656
रमिला,0,4622
भरत बहादुर,1,4613
सुन्दर,1,4606
सावित्री देवी,0,4595
फुलमाया,0,4586
बुद्धि माया,0,4583
सरस्वती देवी,0,4579
संगिता कुमारी,0,4558
बिशाल,1,4546
प्रमिला देवी,0,4542
संतोष कुमार,1,4537
महेश कुमार,1,4534
बिक्रम,1,4519
माधव प्रसाद,1,4518
खेम राज,1,4513
लिला बहादुर,1,4512
कृष्णा,0,4511
शिव बहादुर,1,4508
बिना,0,4506
दामोदर,1,4502
कविता कुमारी,0,4498
मान वहादुर,1,4498
हिमाल,1,4497
हरी बहादुर,1,4492
हरी प्रसाद,1,4481
शारदा देवी,0,4476
गंगा राम,1,4475
देवी प्रसाद,1,4469
मैना,0,4469
यशोदा,0,4455
हिरा लाल,1,4448
गणेश कुमार,1,4439
राम शरण,1,4428
सबिता,0,4428
निर बहादुर,1,4427
लिल बहादुर,1,4413
शान्ती कुमारी,0,4413
चन्द्र प्रसाद,1,4405
टिका देवी,0,4403
देवी कुमारी,0,4385
रोशनी,0,4378
दिपेन्द्र कुमार,1,4350
विमला देवी,0,4345
अमर,1,4342
राजकुमार,1,4342
पुजा कुमारी,0,4341
प्रेम वहादुर,1,4332
विन्दा,0,4329
तेज कुमारी,0,4313
सेर बहादुर,1,4306
रिमा,0,4304
रोजिना,0,4299
खडक बहादुर,1,4293
रन बहादुर,1,4275
केशर बहादुर,1,4255
लाल वहादुर,1,4248
रन्जना,0,4247
पदमा,0,4216
योगेन्द्र,1,4205
हिमा,0,4203
गंगा प्रसाद,1,4200
सन्त माया,0,4190
सरु,0,4189
राम लाल,1,4186
दिलमाया,0,4171
सोनी,0,4168
अमित कुमार,1,4157
नारायण बहादुर,1,4152
सरस्‍वती,0,4151
बुद्धि बहादुर,1,4144
अनुप,1,4139
राहुल,1,4132
डम्बर कुमारी,0,4111
किरण,0,4103
सूर्य बहादुर,1,4094
सानु,0,4094
याम कुमारी,0,4093
लोकेन्द्र,1,4093
तिर्थ बहादुर,1,4089
हुम बहादुर,1,4089
माया कुमारी,0,4089
छवि लाल,1,4081
सिता माया,0,4079
जनक बहादुर,1,4071
नारायणी,0,4069
रचना,0,4069
सकुन्तला,0,4068
केदार,1,4054
विपना,0,4036
रेशम बहादुर,1,4024
बाल कृष्ण,1,4018
नन्द लाल,1,4018
प्रशान्त,1,4014
गोपाल प्रसाद,1,3994
साजन,1,3990
रेशम,1,3989
तेतरी,0,3987
ठुली माया,0,3985
बाबु राम,1,3982
टंक प्रसाद,1,3979
गोपाल बहादुर,1,3971
टेक वहादुर,1,3960
दिल कुमार,1,3954
रामजी,1,3953
मन्जु कुमारी,0,3953
सन्तोषी,0,3946
उमा कुमारी,0,3930
सविता कुमारी,0,3924
पार्वती कुमारी,0,3912
बिष्णु माया,0,3906
सुमित्रा देवी,0,3903
मन्दिरा,0,3890
पवित्रा देवी,0,3889
वविता,0,3867
जितेन्द्र कुमार,1,3863
नविन कुमार,1,3862
काले,1,3857
शोभा देवी,0,3855
भोज बहादुर,1,3852
फुलो देवी,0,3840
राज,1,3832
प्रभा,0,3830
डम्वर बहादुर,1,3830
जय प्रकाश,1,3829
शिव शंकर,1,3818
मालती,0,3811
जयराम,1,3804
कृष्ण वहादुर,1,3780
विरेन्द्र कुमार,1,3774
चित्र कुमारी,0,3761
गोरे,1,3757
मन कुमार,1,3752
जगदिश,1,3751
रामु,1,3750
नविना,0,3734
राज बहादुर,1,3732
कान्छा,1,3731
प्रतिभा,0,3719
चन्द्र वहादुर,1,3709
रत्न बहादुर,1,3695
नव राज,1,3688
करुणा,0,3682
गोमा कुमारी,0,3672
कृष्‍ण कुमारी,0,3657
रेनु,0,3639
अम्मर बहादुर,1,3632
लक्ष्मी,1,3629
मीना कुमारी,0,3629
केशरी,0,3628
कल्पना कुमारी,0,3620
सुसिला,0,3615
दुर्गा माया,0,3597
वाल कुमारी,0,3592
रमेश बहादुर,1,3585
जमुना देवी,0,3567
निरु,0,3567
हेम राज,1,3565
सारदा,0,3560
भिमा,0,3555
नेत्र प्रसाद,1,3552
अमृत बहादुर,1,3527
भिम वहादुर,1,3520
जयन्ती,0,3518
निराजन,1,3505
रोशन कुमार,1,3498
पम्फा,0,3490
खिमा,0,3486
सरिता देवी,0,3485
पार्वता,0,3483
शान्ति देवी,0,3483
ओम कुमारी,0,3470
मोहन कुमार,1,3467
दिपक बहादुर,1,3465
हेमन्त,1,3460
देवराज,1,3455
नर वहादुर,1,3447
सरस्वती कुमारी,0,3446
विमला कुमारी,0,3444
सलिना,0,3434
एलिसा,0,3431
मनिसा,0,3431
रत्‍न माया,0,3426
हरि नारायण,1,3414
उषा कुमारी,0,3411
रामेश्‍वर,1,3406
धर्मेन्द्र,1,3406
राम दुलारी,0,3402
मिन कुमारी,0,3401
गंगाराम,1,3400
कलावती देवी,0,3399
रजनी,0,3393
पासाङ,1,3379
अर्जुन बहादुर,1,3376
रत्‍न कुमारी,0,3363
हरी माया,0,3356
सुरज कुमार,1,3345
एक बहादुर,1,3321
केशव राज,1,3315
राज किशोर,1,3312
सरला,0,3310
उर्मिला कुमारी,0,3307
रेणु,0,3304
मदन कुमार,1,3294
नानी माया,0,3290
बल राम,1,3278
पुरुषोत्तम,1,3277
नरेश कुमार,1,3271
किरण कुमारी,0,3271
देव राज,1,3266
चिनी माया,0,3266
रिना कुमारी,0,3265
चन्द्रा देवी,0,3257
विपिन,1,3256
यज्ञ बहादुर,1,3256
श्याम कुमारी,0,3244
निम बहादुर,1,3235
सुनीता,0,3231
बिरेन्द्र,1,3226
हर्क माया,0,3220
नन्द बहादुर,1,3220
बन्दना,0,3219
राम बाबु,1,3217
श्याम सुन्दर,1,3217
प्रमिला कुमारी,0,3217
कैलाश,1,3192
पदम वहादुर,1,3191
जानकी कुमारी,0,3186
बविता,0,3186
सुजाता,0,3183
चन्द्र कुमार,1,3182
संजिव,1,3181
तिल माया,0,3180
ईन्द्र बहादुर,1,3179
केशव प्रसाद,1,3173
धन कुमार,1,3171
निता,0,3170
राजेन्द्र कुमार,1,3167
हेमराज,1,3163
निरा,0,3161
ठाकुर प्रसाद,1,3153
भोज राज,1,3148
प्रताप,1,3148
कुल प्रसाद,1,3148
रुद्र प्रसाद,1,3144
नन्दा,0,3143
रमेश प्रसाद,1,3143
इन्दु,0,3143
भिम माया,0,3141
चन्दा,0,3127
राजाराम,1,3126
ज्ञानेन्द्र,1,3122
धना,0,3118
ललित बहादुर,1,3114
मंजु,0,3104
देव कुमार,1,3100
रन्जु,0,3092
अमृता कुमारी,0,3088
पूर्ण माया,0,3086
पुष्पा कुमारी,0,3065
मिठु,0,3062
कला,0,3051
साबित्री,0,3047
कुशल,1,3044
डिल्ली बहादुर,1,3044
तेतरी देवी,0,3043
सचिन,1,3043
पुनम देवी,0,3042
रेणुका,0,3041
सुनैना,0,3040
नरमाया,0,3034
दशरथ,1,3016
डिल्ली राम,1,3013
निमा,0,3005
सुदर्शन,1,3000
फुलमती,0,2990
काली बहादुर,1,2986
सोनिया,0,2979
पबित्रा,0,2975
अनिशा,0,2974
तुलसी देवी,0,2968
पवित्रा कुमारी,0,2959
समिता,0,2957
बिमल,1,2951
पुरन,1,2948
दीपक,1,2941
शुष्मा,0,2940
सन्जय,1,2939
लेख बहादुर,1,2936
राधिका देवी,0,2932
प्रेम लाल,1,2929
राजा राम,1,2927
हरी,1,2924
कपिल,1,2910
भीम कुमारी,0,2908
शिव राज,1,2902
धनसरी,0,2901
नन्दा देवी,0,2899
सुजिता,0,2899
रंजित कुमार,1,2898
कबिता,0,2892
विष्णु कुमार,1,2885
मोहन प्रसाद,1,2883
रुपेश कुमार,1,2880
इन्द्रा,0,2871
पारस,1,2867
प्रविण,1,2867
रामदेव,1,2865
जय नारायण,1,2864
इन्द्र प्रसाद,1,2861
धनसरा,0,2847
विष्‍णु प्रसाद,1,2845
जय राम,1,2843
शकुन्तला,0,2842
नबिन,1,2840
धर्मराज,1,2839
कोशिला देवी,0,2835
विना कुमारी,0,2832
सुमित,1,2830
मन्जु देवी,0,2826
श्रृजना,0,2822
शेष,1,2822
खेमराज,1,2811
रमा देवी,0,2809
संजिव कुमार,1,2803
दिपिका,0,2794
सुन्दरी,0,2781
प्रियंका,0,2779
दिक्षा,0,2777
देउ माया,0,2775
उषा देवी,0,2774
बिन्दु,0,2769
तारा प्रसाद,1,2766
मंजु देवी,0,2763
सुधा,0,2763
सुमन,0,2761
हरिमाया,0,2757
सहदेव,1,2754
मंगल,1,2745
नेत्र कुमारी,0,2742
अर्जुन प्रसाद,1,2737
अन्जली,0,2734
आयुष,1,2733
विष्‍णु कुमारी,0,2732
नन्दलाल,1,2727
हिरालाल,1,2708
समिना,0,2702
बेचन,1,2700
कमली,0,2698
अनिश,1,2693
ज्ञान कुमारी,0,2693
मनिषा कुमारी,0,2689
देवकी देवी,0,2682
गौरी देवी,0,2682
राम एकवाल,1,2682
मनिका,0,2680
उर्मीला,0,2677
बासुदेव,1,2677
बबिता कुमारी,0,2676
तुलसा देवी,0,2673
चन्द्र,1,2666
दीपा,0,2666
रामकली,0,2664
शंकर प्रसाद,1,2662
दुर्ग बहादुर,1,2658
दुर्गा,1,2657
हसिना,0,2655
रबिना,0,2654
इश्‍वरी,0,2647
बहादुर,1,2645
प्रवेश,1,2643
बिनोद कुमार,1,2642
राम सेवक,1,2635
बसन्ता,0,2631
हेमा,0,2619
कृष्‍ण माया,0,2617
राधेश्याम,1,2615
श्‍याम बहादुर,1,2606
श्री प्रसाद,1,2604
रेवती,0,2602
बिष्णु प्रसाद,1,2590
पदम माया,0,2588
गजेन्द्र,1,2584
रीता कुमारी,0,2577
कल्‍पना,0,2576
रुपा कुमारी,0,2574
पदमा देवी,0,2573
पुर्ण कुमारी,0,2572
चम्पा,0,2567
शिव लाल,1,2563
धिरज,1,2553
गोकुल,1,2553
प्रभावती,0,2552
सुर्य,1,2544
पदम प्रसाद,1,2543
चेत कुमारी,0,2542
कोशिला,0,2534
धौली देवी,0,2533
गौतम,1,2532
सन्दीप,1,2530
प्रकाश कुमार,1,2526
भुपाल,1,2524
श्री माया,0,2523
रुपा देवी,0,2522
मनु,0,2522
महादेव,1,2513
लिलावती,0,2510
कालु,1,2509
शेर वहादुर,1,2502
राम किसुन,1,2499
निशान,1,2498
अरुणा,0,2498
मोहन लाल,1,2489
राम पुकार,1,2487
तेज नारायण,1,2486
वसन्ती,0,2484
फूल कुमारी,0,2481
रीना,0,2476
दल वहादुर,1,2474
मदन बहादुर,1,2468
गोमती,0,2468
आनन्द,1,2467
लेखनाथ,1,2467
खेम कुमारी,0,2465
बुद्धि मान,1,2465
बीर बहादुर,1,2458
सुरेन्द्र प्रसाद,1,2455
मोनिका,0,2454
जय कुमार,1,2454
धिरेन्द्र,1,2453
तुलसी राम,1,2451
रविन्द्र कुमार,1,2440
आरती कुमारी,0,2440
केशव बहादुर,1,2438
हरि कला,0,2431
होम कुमारी,0,2429
रेणु कुमारी,0,2423
बिजय कुमार,1,2422
दिपा कुमारी,0,2417
धन प्रसाद,1,2402
सकिना,0,2401
मंगल बहादुर,1,2401
भरत कुमार,1,2401
किसन,1,2399
प्रिया,0,2398
ध्रुव,1,2394
डल्ली,0,2382
मेघ बहादुर,1,2375
सुरेन्द्र बहादुर,1,2373
निसा,0,2358
शिशिर,1,2358
बालकृष्ण,1,2357
देउ कुमारी,0,2355
सेते,1,2353
गुरु प्रसाद,1,2352
शम्भु प्रसाद,1,2343
राम देव,1,2342
रितु,0,2341
सेती माया,0,2339
खिम कुमारी,0,2336
लक्ष्मी,0,2336
डिल्ली प्रसाद,1,2336
सुमित्रा कुमारी,0,2335
मनसरा,0,2331
कुन्ती,0,2331
डिक बहादुर,1,2331
भागरथी,0,2328
जुनु,0,2322
जस बहादुर,1,2322
मानमती,0,2321
मोती लाल,1,2321
राजमती,0,2321
राजिव,1,2316
श्याम लाल,1,2313
हिमा देवी,0,2312
चन्दन कुमार,1,2311
महमद,1,2306
सुकमाया,0,2305
तेज प्रसाद,1,2303
राम लखन,1,2302
दिल वहादुर,1,2300
घनश्‍याम,1,2300
जानुका देवी,0,2300
अनिसा,0,2299
सेतु,0,2298
हरि लाल,1,2298
अमन,1,2289
शान्ती माया,0,2289
बिष्णु,1,2285
सुर्य नारायण,1,2285
सन्त कुमार,1,2281
कमलेश,1,2273
गायत्री देवी,0,2273
रोहित कुमार,1,2272
सुर्य प्रसाद,1,2270
संतोष,1,2270
मैना देवी,0,2270
दयाराम,1,2269
लालमती,0,2267
पर्शुराम,1,2262
लक्ष्‍मण,1,2258
शान्ता कुमारी,0,2257
सीमा,0,2255
राजेन्द्र बहादुर,1,2252
निरुता,0,2245
श्‍याम कुमार,1,2244
महेन्द्र प्रसाद,1,2239
पुर्णिमा,0,2238
सविता देवी,0,2233
निरोज,1,2232
ममता देवी,0,2231
नन्दकली,0,2224
विनय,1,2223
मनकला,0,2217
धनी,0,2214
ओम प्रसाद,1,2214
तिर्थ कुमारी,0,2212
सानु मैया,0,2211
तुलाराम,1,2211
रम्भा देवी,0,2211
सोना,0,2209
सुलोचना,0,2206
भोज कुमारी,0,2200
धौली,0,2196
मन वहादुर,1,2194
रोसन,1,2194
बिष्णु,0,2192
रञ्जना,0,2191
राम औतार,1,2190
ईश्वर,1,2189
लोक माया,0,2188
संगम,1,2182
विना देवी,0,2181
राम नरेश,1,2179
पुष्प राज,1,2174
पदम राज,1,2169
रामेश्वर,1,2168
शारदा कुमारी,0,2167
बाटुली,0,2165
दिनेश प्रसाद,1,2162
करन,1,2160
नानी मैया,0,2160
लक्ष्‍मी देवी,0,2159
मधु माया,0,2159
चन्‍द्र बहादुर,1,2156
धनराज,1,2154
धन राज,1,2150
योगेश,1,2148
दुखनी,0,2144
विनिता कुमारी,0,2143
बिबेक,1,2141
काली देवी,0,2139
नागेन्द्र,1,2138
ज्ञानी,0,2135
अमिता,0,2135
सुनैना देवी,0,2135
तुलसी प्रसाद,1,2131
शिवराज,1,2126
जगन्नाथ,1,2126
प्रकाश बहादुर,1,2125
दुलारी,0,2124
नेहा,0,2122
ललित कुमार,1,2122
बिष्णु कुमारी,0,2121
चन्दन,1,2120
केश बहादुर,1,2114
सनम,1,2114
नथुनी,1,2112
लक्ष्मि,0,2111
राम सिंह,1,2110
रन माया,0,2109
बेल बहादुर,1,2104
इन्द्र कुमार,1,2103
डोल्मा,0,2101
राम प्रकाश,1,2099
रिना देवी,0,2098
राजन कुमार,1,2098
गगन बहादुर,1,2097
प्रतिक,1,2097
तुलसी,1,2096
बर्षा,0,2093
सबिन,1,2092
नम्रता,0,2091
अमिर,1,2085
सुभाष,1,2084
जगत,1,2084
सोनाम,1,2084
मिरा देवी,0,2082
शत्रुधन,1,2082
विष्‍णु,0,2081
दुलारी देवी,0,2080
निरज कुमार,1,2079
लोक नाथ,1,2076
हिम बहादुर,1,2073
रीता देवी,0,2072
मोती,0,2071
नमराज,1,2071
दुखनी देवी,0,2070
संगीता कुमारी,0,2070
रामनाथ,1,2069
रक्षा,0,2067
सोनु,0,2065
महेन्द्र बहादुर,1,2065
मंगले,1,2064
पुष्‍पा,0,2063
कृष्णा कुमारी,0,2061
सोभा,0,2061
पूजा,0,2060
मंजु कुमारी,0,2057
शान्ति कुमारी,0,2054
अञ्जु,0,2053
देवि,0,2052
किशोर कुमार,1,2049
शंकर बहादुर,1,2048
रन्जिता,0,2046
कुमारी देवी,0,2046
शुशिल,1,2044
जमिला,0,2044
दिपेश कुमार,1,2044
भिम,1,2042
तिला,0,2041
रामबाबु,1,2040
हर्क वहादुर,1,2039
सुजित,1,2038
श्याम प्रसाद,1,2037
भोजराज,1,2035
देवीमाया,0,2034
वासुदेव,1,2032
टंक माया,0,2031
शिला देवी,0,2026
नन्दकला,0,2024
भिमसेन,1,2023
राजो देवी,0,2023
जित वहादुर,1,2023
सन्‍तोष,1,2022
बुधनी,0,2020
श्‍याम,1,2020
दिवाकर,1,2019
लोक वहादुर,1,2017
सीता माया,0,2011
अमृता देवी,0,2009
राम दयाल,1,2009
द्रोपती,0,2005
रंजित,1,2005
भक्त कुमारी,0,2004
चन्द्रमाया,0,2003
इन्दीरा,0,2001
रेश्मा,0,1999
तेज वहादुर,1,1998
सिमा कुमारी,0,1997
शान्‍ती,0,1991
मीरा,0,1991
नगेन्द्र,1,1990
करण,1,1989
देवका,0,1985
हरि राम,1,1984
बिष्णु बहादुर,1,1982
तिलक राम,1,1981
अन्जु कुमारी,0,1980
सावित्री कुमारी,0,1979
दिलीप कुमार,1,1979
प्रिती,0,1977
अनिस,1,1977
